fieldPath,objectType,targetObject,type,required,usage,sourceRequirement,qualityRules,notes
objectType,all,all,enum,true,identifier,provided_or_mapped,invalid_object_type,"One of platform/trade_area/store/account/marketing_event/business_scenario."
sourceStableKey,all,all,string,true,identifier,provided_or_derived,missing_required_identity,"Stable source key; do not change when displayName changes."
keySource,all,all,enum,true,mapping_meta,provided_or_derived,generated_key_needs_review,"provided/source_system_id/generated_from_name."
canonicalObjectKey,all,all,string,true,identifier,derived_from_sourceStableKey,missing_required_identity,"objectType + ':' + sourceStableKey."
objectVersionId,all,all,string,true,identifier,derived_from_workspace_object_version,missing_required_identity,"workspaceId + ':' + objectType + ':' + sourceStableKey + ':' + dataVersion."
dataVersion,all,all,string,true,identifier,provided,source_lineage_incomplete,"Business data version."
sourceBatchId,all,all,string,true,identifier,provided,source_lineage_incomplete,"Import batch id."
timeWindow,profile,AudienceProfile|string,conditional,dimension,provided,missing_profile_lineage,"Required for aggregate profile/performance snapshots."
sampleSize,profile,AudienceProfile|ProductFitProfile,conditional,calculation_metric,provided,missing_profile_lineage,"Do not fabricate sample size."
confidence,profile,AudienceProfile|ProductFitProfile,number,true,mapping_meta,provided,missing_profile_lineage,"0-1 confidence."
tags,profile,AudienceProfile,array,true,calculation_metric,mapped_from_source,unapproved_tag_id,"All tagIds must exist in profile-taxonomy-v0."
fitCategories,product_fit,ProductFitProfile,string[],true,calculation_metric,provided_or_mapped,missing_product_fit_fields,"Source/mapped product categories."
fitPriceBands,product_fit,ProductFitProfile,string[],true,calculation_metric,provided_or_mapped,missing_product_fit_fields,"Source/mapped price bands."
fitStyles,product_fit,ProductFitProfile,string[],true,calculation_metric,provided_or_mapped,missing_product_fit_fields,"Source/mapped styles."
fitOccasions,product_fit,ProductFitProfile,string[],true,calculation_metric,provided_or_mapped,missing_product_fit_fields,"Source/mapped occasions."
duplicateCandidateKeys,all,all,string[],true,mapping_meta,dry_run_detection,possible_duplicate,"Candidate canonical keys only; no auto merge."
manualReviewStatus,all,all,enum,true,mapping_meta,provided_or_default,possible_duplicate,"unreviewed/confirmed_duplicate/confirmed_distinct/needs_more_data."
